id,name,totalDocks,streetAddress,streetAddress/address2,neighborhood,postalCode,latitude,longitude,loc,entityTitle,@context,@type,@id
302,Avenue D & E 3 St,23,Avenue D & E 3 St,,East Village,10009,40.72082834,-73.97793172,"[ -73.97793172, 40.72082834 ]",avenue_d_e_3_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/avenue_d_e_3_st
303,Mercer St & Spring St,31,Mercer St & Spring St,,SoHo,10012,40.72362738,-73.99949601,"[ -73.99949601, 40.72362738 ]",mercer_st_spring_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/mercer_st_spring_st
304,Broadway & Battery Pl,36,Broadway & Battery Pl,,Financial District,10004,40.70463334,-74.01361706,"[ -74.01361706, 40.70463334 ]",broadway_battery_pl,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/broadway_battery_pl
305,E 58 St & 3 Ave,32,E 58 St & 3 Ave,,Midtown,10022,40.76095756,-73.96724467,"[ -73.96724467, 40.76095756 ]",e_58_st_3_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/e_58_st_3_ave
306,Cliff St & Fulton St,37,Cliff St & Fulton St,,Financial District,10038,40.70823502,-74.00530063,"[ -74.00530062999999, 40.70823502 ]",cliff_st_fulton_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/cliff_st_fulton_st
307,Canal St & Rutgers St,31,Canal St & Rutgers St,,Lower East Side,10002,40.71427487,-73.98990025,"[ -73.98990025000001, 40.71427487 ]",canal_st_rutgers_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/canal_st_rutgers_st
308,St James Pl & Oliver St,27,St James Pl & Oliver St,,Civic Center,10038,40.71307916,-73.99851193,"[ -73.99851193000001, 40.71307916 ]",st_james_pl_oliver_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/st_james_pl_oliver_st
309,Murray St & West St,41,Murray St & West St,,Tribeca,10007,40.7149787,-74.013012,"[ -74.013012, 40.7149787 ]",murray_st_west_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/murray_st_west_st
310,State St & Smith St,35,State St & Smith St,,Boerum Hill,11201,40.68926942,-73.98912867,"[ -73.98912867, 40.68926942 ]",state_st_smith_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/state_st_smith_st
311,Norfolk St & Broome St,31,Norfolk St & Broome St,,Lower East Side,10002,40.7172274,-73.98802084,"[ -73.98802084, 40.7172274 ]",norfolk_st_broome_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/norfolk_st_broome_st
