Carrier,Month,Day,Weekday,Departure (hhhh),Air Time (min),Arrival (hhhh),Distance (miles),Total Delay (min),Status
6,10,8,3,927,335,1245,2475,20,1
6,10,8,3,900,136,1146,944,0,0
6,10,8,3,939,63,1055,264,0,0
6,10,8,3,915,226,1232,1521,16,1
6,10,8,3,903,109,1155,718,45,1
6,10,9,4,900,361,1239,2586,29,1
6,10,9,4,925,47,1022,209,0,0
6,10,9,4,927,337,1244,2475,19,1
6,10,9,4,939,54,1054,264,0,0
6,10,9,4,926,207,1220,1521,8,1
6,10,9,4,916,37,1007,187,137,1
6,10,9,4,928,105,1128,718,43,1
6,10,10,5,921,47,1025,209,0,0
6,10,10,5,923,330,1224,2475,0,0
6,10,10,5,935,54,1053,264,0,0
6,10,10,5,917,212,1209,1521,0,0
6,10,16,4,923,342,1247,2586,60,1
6,10,16,4,909,305,1213,2422,29,1
6,10,16,4,943,40,1104,209,41,1
6,10,16,4,927,326,1237,2475,12,1
6,10,16,4,949,46,1107,264,11,1
6,10,16,4,912,208,1244,1521,28,1
6,10,12,7,904,331,1206,2422,17,1
6,10,12,7,920,44,1028,209,0,0
6,10,12,7,931,324,1223,2475,1,1
6,10,12,7,941,49,1052,264,0,0
6,10,12,7,917,227,1251,1521,35,1
6,10,14,2,929,41,1026,209,0,0
6,10,14,2,921,306,1210,2475,0,0
6,10,14,2,957,127,1227,944,96,1
6,10,14,2,944,47,1053,264,0,0
6,10,14,2,917,206,1202,1521,0,0
6,10,14,2,955,141,1248,1005,0,0
6,10,15,3,927,38,1041,209,5,1
6,10,15,3,927,322,1327,2475,62,1
6,10,15,3,921,156,1311,944,104,1
6,10,15,3,944,49,1117,264,17,1
6,10,15,3,917,198,1259,1521,43,1
6,10,13,1,914,45,1036,209,0,0
6,10,13,1,923,332,1247,2475,22,1
6,10,13,1,944,50,1101,264,1,1
6,10,13,1,918,267,1311,1521,55,1
6,10,13,1,900,106,1112,718,0,0
6,10,14,2,916,326,1200,2586,20,1
6,10,17,5,925,333,1226,2475,1,1
6,10,17,5,912,134,1148,944,0,0
6,10,17,5,941,53,1050,264,0,0
6,10,17,5,922,212,1209,1521,0,0
6,10,18,6,927,45,1036,209,0,0
6,10,18,6,925,319,1219,2475,0,0
6,10,19,7,923,328,1220,2422,48,1
6,10,19,7,926,47,1039,209,3,1
6,10,19,7,925,305,1214,2475,0,0
6,10,19,7,902,134,1203,944,17,1
6,10,19,7,931,203,1222,1521,15,1
6,10,20,1,922,45,1020,209,0,0
6,10,20,1,933,315,1211,2475,3,1
6,10,22,3,919,316,1231,2422,57,1
6,10,22,3,929,44,1106,209,30,1
6,10,22,3,904,78,1136,541,149,1
6,10,22,3,927,307,1309,2475,44,1
6,10,22,3,912,132,1230,944,54,1
6,10,22,3,943,49,1120,264,20,1
6,10,22,3,944,195,1324,1521,90,1
6,10,22,3,950,103,1233,718,130,1
6,10,22,3,904,70,1120,427,168,1
6,10,22,3,906,46,1051,228,178,1
6,10,22,3,921,42,1039,266,49,1
6,10,23,4,926,45,1037,209,1,1
6,10,20,1,918,202,1159,1521,0,0
6,10,21,2,928,43,1039,209,3,1
6,10,21,2,923,312,1209,2475,0,0
6,10,21,2,938,48,1046,264,0,0
6,10,21,2,916,195,1151,1521,0,0
6,10,21,2,911,102,1118,718,16,1
6,10,23,4,936,51,1059,264,0,0
6,10,23,4,920,197,1210,1521,0,0
6,10,23,4,903,50,1022,266,14,1
6,10,24,5,927,47,1037,209,1,1
6,10,24,5,929,305,1206,2475,0,0
6,10,23,4,928,312,1213,2475,0,0
6,10,25,6,926,46,1033,209,0,0
6,10,25,6,926,313,1209,2475,0,0
6,10,25,6,957,297,1228,2248,0,0
6,10,25,6,949,57,1107,264,11,1
6,10,25,6,912,195,1154,1521,0,0
6,10,26,7,926,55,1044,209,0,0
6,10,26,7,922,338,1242,2446,50,1
6,10,26,7,901,56,1017,273,0,0
6,10,26,7,950,343,1257,2475,0,0
6,10,26,7,958,322,1249,2248,0,0
6,10,26,7,927,123,1207,944,0,0
6,10,29,3,903,42,1004,266,0,0
6,10,30,4,925,46,1036,209,0,0
6,10,30,4,941,317,1229,2475,0,0
6,10,30,4,948,201,1336,1598,1,1
6,10,30,4,959,298,1229,2248,0,0
6,10,17,5,901,357,1223,2586,14,1
6,10,17,5,922,45,1023,209,0,0
6,10,26,7,905,47,1019,266,0,0
6,10,27,1,929,50,1042,209,0,0
6,10,27,1,900,53,1013,273,0,0
6,10,27,1,952,339,1251,2475,2,1
6,10,27,1,954,193,1330,1598,4,1
6,10,27,1,954,323,1240,2248,0,0
6,10,27,1,931,126,1157,944,0,0
6,10,27,1,905,131,1135,1028,5,1
6,10,27,1,901,51,1013,266,0,0
6,10,31,5,900,46,1011,273,0,0
6,10,31,5,944,318,1236,2475,0,0
6,10,31,5,945,201,1323,1598,0,0
6,10,31,5,958,291,1222,2248,0,0
6,10,31,5,938,139,1225,944,0,0
6,10,31,5,907,102,1110,718,7,1
6,10,31,5,957,149,1255,1005,0,0
6,10,24,5,941,53,1058,264,0,0
6,10,24,5,917,187,1147,1521,0,0
6,10,28,2,925,44,1032,209,0,0
6,10,28,2,939,334,1240,2475,0,0
6,10,28,2,948,196,1323,1598,0,0
6,10,28,2,955,315,1227,2248,0,0
6,10,28,2,926,131,1159,944,0,0
6,10,28,2,905,44,1004,266,0,0
6,10,29,3,931,44,1037,209,0,0
6,10,29,3,946,327,1238,2475,0,0
6,10,29,3,945,207,1337,1598,2,1
6,10,29,3,933,142,1219,944,2,1
6,10,29,3,900,144,1143,1028,0,0
6,10,31,5,904,42,1005,266,0,0
7,10,1,3,942,323,1224,2422,0,0
7,10,1,3,928,343,1245,2475,0,0
7,10,2,4,941,341,1241,2422,0,0
7,10,2,4,930,326,1233,2475,0,0
7,10,2,4,900,374,1242,2586,15,1
7,10,3,5,940,323,1231,2422,0,0
7,10,3,5,928,326,1224,2475,0,0
7,10,3,5,924,325,1249,2475,4,1
7,10,5,7,943,322,1236,2422,0,0
7,10,5,7,928,331,1233,2475,0,0
7,10,5,7,953,305,1225,2248,155,1
7,10,6,1,941,332,1240,2422,0,0
7,10,6,1,930,322,1231,2475,0,0
7,10,5,7,901,202,1302,1598,15,1
7,10,6,1,900,200,1253,1598,5,1
7,10,7,2,945,332,1237,2422,0,0
7,10,7,2,926,332,1225,2475,0,0
6,10,18,6,944,52,1054,264,0,0
6,10,18,6,918,225,1228,1521,12,1
7,10,8,3,943,338,1250,2422,1,1
7,10,8,3,925,332,1230,2475,0,0
7,10,9,4,924,345,1243,2475,0,0
7,10,10,5,943,333,1236,2422,0,0
7,10,10,5,926,346,1232,2475,0,0
7,10,10,5,900,354,1217,2586,0,0
7,10,10,5,929,333,1241,2475,0,0
7,10,10,5,901,200,1252,1598,5,1
7,10,12,7,951,321,1236,2422,6,1
7,10,12,7,928,328,1233,2475,0,0
7,10,12,7,902,130,1154,944,105,1
7,10,12,7,935,312,1213,2248,125,1
7,10,11,6,950,302,1209,2248,1,1
7,10,13,1,940,330,1233,2422,0,0
7,10,13,1,927,337,1237,2475,0,0
7,10,13,1,900,349,1219,2586,0,0
7,10,12,7,957,149,1247,1069,155,1
7,10,12,7,903,203,1257,1598,12,1
7,10,14,2,931,316,1213,2475,1,1
7,10,14,2,914,325,1218,2586,14,1
7,10,15,3,944,315,1248,2422,0,0
7,10,15,3,925,333,1335,2475,50,1
7,10,16,4,940,334,1302,2422,13,1
7,10,16,4,930,322,1234,2475,0,0
