FL_DATE,ARR_FLIGHTS,ARR_DEL15,ARR_DEL_PCT,DEP_FLIGHTS,DEP_DEL15,DEP_DEL_PCT
2014-04-12,259,18.0,6.94980694980695,259,23.0,8.88030888030888
2014-04-13,275,56.0,20.363636363636363,275,48.0,17.454545454545453
2014-04-14,278,50.0,17.985611510791365,278,49.0,17.62589928057554
2014-04-15,277,149.0,53.79061371841155,277,116.0,41.87725631768953
2014-04-16,277,79.0,28.51985559566787,277,53.0,19.133574007220215
2014-04-17,279,48.0,17.204301075268816,279,39.0,13.978494623655914
2014-04-18,279,25.0,8.960573476702509,279,23.0,8.243727598566307
2014-04-19,257,20.0,7.782101167315175,257,19.0,7.392996108949417
2014-04-20,273,22.0,8.058608058608058,273,30.0,10.989010989010989
2014-04-21,278,20.0,7.194244604316546,278,23.0,8.273381294964029
2014-04-22,278,21.0,7.553956834532374,278,26.0,9.352517985611511
2014-04-23,277,66.0,23.826714801444044,277,47.0,16.967509025270758
2014-04-24,280,58.0,20.714285714285715,280,43.0,15.357142857142858
2014-04-25,281,49.0,17.437722419928825,281,37.0,13.167259786476869
2014-04-26,258,82.0,31.782945736434108,258,41.0,15.891472868217054
2014-04-27,276,77.0,27.89855072463768,276,42.0,15.217391304347826
2014-04-28,277,22.0,7.9422382671480145,277,33.0,11.913357400722022
2014-04-29,272,52.0,19.11764705882353,272,43.0,15.808823529411764
2014-04-30,268,108.0,40.298507462686565,268,78.0,29.104477611940297
2014-05-01,276,120.0,43.47826086956522,276,116.0,42.028985507246375
2014-05-02,279,73.0,26.164874551971327,279,51.0,18.27956989247312
2014-05-03,252,46.0,18.253968253968253,252,33.0,13.095238095238095
2014-05-04,275,64.0,23.272727272727273,275,53.0,19.272727272727273
2014-05-05,277,33.0,11.913357400722022,277,40.0,14.440433212996389
2014-05-06,273,35.0,12.820512820512821,273,26.0,9.523809523809524
2014-05-07,272,40.0,14.705882352941176,272,44.0,16.176470588235293
2014-05-08,276,89.0,32.2463768115942,276,70.0,25.36231884057971
2014-05-09,278,37.0,13.309352517985612,278,41.0,14.748201438848922
2014-05-10,248,94.0,37.903225806451616,248,58.0,23.387096774193548
2014-05-11,268,45.0,16.791044776119403,268,40.0,14.925373134328359
2014-05-12,275,62.0,22.545454545454547,275,36.0,13.090909090909092
2014-05-13,272,78.0,28.676470588235293,272,86.0,31.61764705882353
2014-05-14,274,39.0,14.233576642335766,274,53.0,19.343065693430656
2014-05-15,278,124.0,44.60431654676259,278,89.0,32.014388489208635
2014-05-16,282,131.0,46.45390070921986,282,110.0,39.00709219858156
