LivingArea,NumBedrooms,Pool,ListPrice,DwellingType
2346,4,Private,224900,Single Family - Detached
1756,3,None,305000,Single Family - Detached
2981,3,Both Private & Community,459900,Single Family - Detached
2610,2,Community,499900,Single Family - Detached
2281,2,Community,385000,Single Family - Detached
1056,2,Community,94000,Townhouse
5335,6,Both Private & Community,1295000,Single Family - Detached
2187,3,None,345000,Single Family - Detached
1525,3,Community,89900,Apartment Style/Flat
1812,3,None,246500,Single Family - Detached
1500,2,Community,139900,Single Family - Detached
1973,4,Private,222900,Single Family - Detached
1675,4,Private,157500,Single Family - Detached
2403,4,None,179900,Single Family - Detached
1633,3,None,239000,Single Family - Detached
1873,2,None,155000,Single Family - Detached
1220,3,Private,189000,Single Family - Detached
932,2,Community,92000,Apartment Style/Flat
3398,3,None,559639,Single Family - Detached
1096,3,None,119900,Single Family - Detached
2234,3,None,264500,Single Family - Detached
1425,3,Community,225000,Single Family - Detached
1546,3,None,149900,Single Family - Detached
1537,2,Community,85000,Mfg/Mobile Housing
2174,3,None,185000,Single Family - Detached
1689,2,Community,175800,Single Family - Detached
2616,3,None,479000,Single Family - Detached
1375,3,None,155900,Single Family - Detached
1296,3,None,75000,Mfg/Mobile Housing
3720,4,Private,1450000,Single Family - Detached
3760,4,Private,789000,Single Family - Detached
2055,2,Community,725000,Apartment Style/Flat
1405,3,None,339000,Single Family - Detached
1208,2,Private,267500,Apartment Style/Flat
2894,4,Private,389900,Single Family - Detached
2277,3,None,327000,Single Family - Detached
2123,5,None,99900,Single Family - Detached
2358,5,Private,200000,Single Family - Detached
1679,3,Community,249900,Single Family - Detached
1134,3,None,79000,Single Family - Detached
1799,3,Private,199980,Single Family - Detached
2213,3,None,269900,Single Family - Detached
1217,3,Community,109900,Single Family - Detached
1684,3,Both Private & Community,159900,Single Family - Detached
1513,2,Community,199000,Single Family - Detached
2228,4,None,159000,Single Family - Detached
2658,4,Private,325000,Single Family - Detached
1058,2,Community,44000,Apartment Style/Flat
1449,4,None,151900,Single Family - Detached
1212,2,Community,93900,Gemini/Twin Home
1456,1,Community,179900,Loft Style
1359,2,Community,349900,Townhouse
2162,3,None,225000,Single Family - Detached
1729,3,Community,335000,Apartment Style/Flat
2137,3,None,209000,Single Family - Detached
1606,2,Community,197500,Patio Home
2188,3,None,274900,Single Family - Detached
1558,3,Private,205000,Single Family - Detached
3128,5,None,324900,Single Family - Detached
2500,4,None,310000,Single Family - Detached
2205,3,Community,267300,Single Family - Detached
1768,2,Community,339000,Single Family - Detached
3270,3,None,1280000,Single Family - Detached
1783,3,None,195900,Single Family - Detached
1073,2,Community,157700,Apartment Style/Flat
2940,4,Both Private & Community,369999,Single Family - Detached
961,2,Community,78500,Mfg/Mobile Housing
1459,2,None,184900,Single Family - Detached
1190,2,Community,162000,Patio Home
1486,3,Community,269900,Single Family - Detached
2542,4,Private,450000,Single Family - Detached
1521,3,None,220000,Single Family - Detached
1433,3,None,189000,Single Family - Detached
2511,4,None,264500,Single Family - Detached
1084,2,Community,168000,Single Family - Detached
1060,2,Community,114500,Townhouse
2003,3,Private,324500,Single Family - Detached
1748,3,Community,188900,Single Family - Detached
3949,4,None,397370,Single Family - Detached
1570,3,None,144900,Single Family - Detached
1625,3,None,139900,Single Family - Detached
1134,3,None,126000,Single Family - Detached
999,2,Community,175000,Apartment Style/Flat
2035,3,Private,339950,Single Family - Detached
1250,2,None,119000,Single Family - Detached
4195,5,None,456950,Single Family - Detached
3046,3,None,695000,Single Family - Detached
